Ponderacion,Producto_INE,Producto,Accion
0.33919,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL,MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL,Mantener
0.28326,MEDICAMENTOS PARA EL APARATO DIGESTIVO Y METABÓLICO,MEDICAMENTOS PARA EL APARATO DIGESTIVO Y METABÓLICO,Mantener
0.060469999999999996,PREPARADOS OFTALMOLÓGICOS,PREPARADOS OFTALMOLÓGICOS,Mantener
0.05785,"MEDICAMENTOS PARA EL TRATAMIENTO DEL CÁNCER, MODIFICADORES DEL SISTEMA INMUNE Y FÁRMACOS UTILIZADOS EN LOS CUIDADOS PALIATIVOS DEL DOLOR","MEDICAMENTOS PARA EL TRATAMIENTO DEL CÁNCER, MODIFICADORES DEL SISTEMA INMUNE Y FÁRMACOS UTILIZADOS EN LOS CUIDADOS PALIATIVOS DEL DOLOR",Mantener
0.13802999999999999,MEDICAMENTOS HOMEOPÁTICOS Y SUPLEMENTOS ALIMENTICIOS,MEDICAMENTOS HOMEOPÁTICOS Y SUPLEMENTOS ALIMENTICIOS,Mantener
0.07038,PRODUCTOS PARA LA CURACIÓN DE HERIDAS,PRODUCTOS PARA LA CURACIÓN DE HERIDAS,Mantener
0.02387,PRESERVATIVOS,PRESERVATIVOS,Mantener
0.50613,LENTES DE CORRECCIÓN,LENTES DE CORRECCIÓN,Mantener
0.05727,ARTÍCULOS PARA MEDIR PARÁMETROS DE SALUD,ARTÍCULOS PARA MEDIR PARÁMETROS DE SALUD,Mantener
0.94911,CONSULTA MÉDICA,CONSULTA MÉDICA,Mantener
0.26675,PROCEDIMIENTO E INTERVENCIÓN QUIRÚRGICA  AMBULATORIA,PROCEDIMIENTO E INTERVENCIÓN QUIRÚRGICA  AMBULATORIA,Mantener
0.99702,CONSULTA Y TRATAMIENTO ODONTOLÓGICO,CONSULTA Y TRATAMIENTO ODONTOLÓGICO,Mantener
0.37042,EXAMEN DE  IMAGENOLOGÍA Y RADIOLOGÍA,EXAMEN DE  IMAGENOLOGÍA Y RADIOLOGÍA,Mantener
0.24539,EXAMEN DE LABORATORIO CLÍNICO,EXAMEN DE LABORATORIO CLÍNICO,Mantener
0.25481,SERVICIO DE OTROS PROFESIONALES DE LA SALUD,SERVICIO DE OTROS PROFESIONALES DE LA SALUD,Mantener
0.8264,SERVICIO DE HOSPITALIZACIÓN,SERVICIO DE HOSPITALIZACIÓN,Mantener
4.05431,AUTOMÓVIL NUEVO,AUTOMÓVIL NUEVO,Mantener
0.2291,AUTOMÓVIL USADO,AUTOMÓVIL USADO,Mantener
0.10059,MOTOCICLETA,MOTOCICLETA,Mantener
0.06734,BICICLETA,BICICLETA,Mantener
0.07214,REPUESTOS PARA EL FUNCIONAMIENTO ELÉCTRICO DEL AUTOMÓVIL,REPUESTOS PARA EL FUNCIONAMIENTO ELÉCTRICO DEL AUTOMÓVIL,Mantener
0.13063,NEUMÁTICOS Y LLANTAS,NEUMÁTICOS Y LLANTAS,Mantener
0.23917,REPUESTOS Y ACCESORIOS PARA EL FUNCIONAMIENTO MECÁNICO DEL AUTOMÓVIL,REPUESTOS Y ACCESORIOS PARA EL FUNCIONAMIENTO MECÁNICO DEL AUTOMÓVIL,Mantener
3.49526,GASOLINA,GASOLINA,Mantener
0.33069,PETRÓLEO DIÉSEL,PETRÓLEO DIÉSEL,Mantener
0.02288,LUBRICANTES Y ACEITES PARA EL AUTOMÓVIL,LUBRICANTES Y ACEITES PARA EL AUTOMÓVIL,Mantener
0.82061,SERVICIO DE MANTENCIÓN Y REPARACIÓN DEL AUTOMÓVIL,SERVICIO DE MANTENCIÓN Y REPARACIÓN DEL AUTOMÓVIL,Mantener
0.03122,SERVICIO DE LAVADO DEL AUTOMÓVIL,SERVICIO DE LAVADO DEL AUTOMÓVIL,Mantener
0.21545,SERVICIO DE ESTACIONAMIENTO,SERVICIO DE ESTACIONAMIENTO,Mantener
0.27651,SERVICIO DE PEAJE,SERVICIO DE PEAJE,Mantener
0.03039,LICENCIA DE CONDUCIR,LICENCIA DE CONDUCIR,Mantener
0.06476,REVISIÓN TÉCNICA DEL AUTOMÓVIL,REVISIÓN TÉCNICA DEL AUTOMÓVIL,Mantener
0.72155,SERVICIO DE TRANSPORTE EN TAXI COLECTIVO,SERVICIO DE TRANSPORTE EN TAXI COLECTIVO,Mantener
0.23806,SERVICIO DE TRANSPORTE EN TAXI,SERVICIO DE TRANSPORTE EN TAXI,Mantener
0.27799,SERVICIO DE TRANSPORTE ESCOLAR,SERVICIO DE TRANSPORTE ESCOLAR,Mantener
0.61669,SERVICIO DE TRANSPORTE EN MICROBUS,SERVICIO DE TRANSPORTE EN MICROBUS,Mantener
0.03145,SERVICIO DE TRANSFER,SERVICIO DE TRANSFER,Mantener
0.59102,SERVICIO DE TRANSPORTE EN BUS INTERURBANO,SERVICIO DE TRANSPORTE EN BUS INTERURBANO,Mantener
0.52102,SERVICIO DE TRANSPORTE AÉREO,SERVICIO DE TRANSPORTE AÉREO,Mantener
1.29498,SERVICIO DE TRANSPORTE MULTIMODAL,SERVICIO DE TRANSPORTE MULTIMODAL,Mantener
0.40978,EQUIPO DE TELEFONÍA MÓVIL,EQUIPO DE TELEFONÍA MÓVIL,Mantener
0.1487,SERVICIO DE CONEXIÓN INTERNET,SERVICIO DE CONEXIÓN INTERNET,Mantener
0.07845,SERVICIO DE BANDA ANCHA MÓVIL,SERVICIO DE BANDA ANCHA MÓVIL,Mantener
2.39372,SERVICIO DE PACK DE TELECOMUNICACIONES,SERVICIO DE PACK DE TELECOMUNICACIONES,Mantener
1.69432,SERVICIO DE TELEFONÍA MÓVIL,SERVICIO DE TELEFONÍA MÓVIL,Mantener
0.27567,SERVICIO DE TELEFONÍA FIJA,SERVICIO DE TELEFONÍA FIJA,Mantener
0.59118,TELEVISOR,TELEVISOR,Mantener
0.05292,EQUIPO DE SONIDO,EQUIPO DE SONIDO,Mantener
0.06258,REPRODUCTOR PORTÁTIL DE AUDIO Y VIDEO,REPRODUCTOR PORTÁTIL DE AUDIO Y VIDEO,Mantener
0.17316,CÁMARA FOTOGRÁFICA,CÁMARA FOTOGRÁFICA,Mantener
0.81448,COMPUTADOR,COMPUTADOR,Mantener
0.05974,IMPRESORA,IMPRESORA,Mantener
0.06772,MÚSICA Y PELÍCULA DIGITAL,MÚSICA Y PELÍCULA DIGITAL,Mantener
0.05451,UNIDAD DE ALMACENAMIENTO DIGITAL,UNIDAD DE ALMACENAMIENTO DIGITAL,Mantener
0.41018,JUGUETES,JUGUETES,Mantener
0.08555,CONSOLA DE VIDEOJUEGO,CONSOLA DE VIDEOJUEGO,Mantener
0.11613,IMPLEMENTOS DEPORTIVOS,IMPLEMENTOS DEPORTIVOS,Mantener
0.04637,ARTÍCULOS DE CAMPING,ARTÍCULOS DE CAMPING,Mantener
0.16551,INSTRUMENTOS MUSICALES,INSTRUMENTOS MUSICALES,Mantener
0.0965,FLORES,FLORES,Mantener
0.03693,PLANTAS,PLANTAS,Mantener
0.02273,TIERRA Y FERTILIZANTE,TIERRA Y FERTILIZANTE,Mantener
0.44273,ALIMENTOS PARA MASCOTAS,ALIMENTOS PARA MASCOTAS,Mantener
0.05453,ACCESORIOS PARA MASCOTAS,ACCESORIOS PARA MASCOTAS,Mantener
0.10615,SERVICIOS VETERINARIOS,SERVICIOS VETERINARIOS,Mantener
0.08011,SERVICIOS PRESTADOS POR CENTROS RECREATIVOS,SERVICIOS PRESTADOS POR CENTROS RECREATIVOS,Mantener
0.03141,ENTRADA PARA ESPECTÁCULOS DEPORTIVOS,ENTRADA PARA ESPECTÁCULOS DEPORTIVOS,Mantener
0.05159,ENTRADA A CENTROS DE DIVERSIÓN NOCTURNOS,ENTRADA A CENTROS DE DIVERSIÓN NOCTURNOS,Mantener
0.09675,SERVICIOS DE FIESTAS DE CUMPLEAÑOS,SERVICIOS DE FIESTAS DE CUMPLEAÑOS,Mantener
0.35184,GIMNASIOS,GIMNASIOS,Mantener
0.11711,CLASES DEPORTIVAS,CLASES DEPORTIVAS,Mantener
0.07188,CLASES RECREATIVAS,CLASES RECREATIVAS,Mantener
0.16505,ENTRADA AL CINE,ENTRADA AL CINE,Mantener
0.2289,ENTRADA A ESPECTÁCULOS,ENTRADA A ESPECTÁCULOS,Mantener
0.02362,SERVICIO DE REVELADO FOTOGRÁFICO,SERVICIO DE REVELADO FOTOGRÁFICO,Mantener
0.39448,SERVICIO DE TELEVISIÓN PAGADA RESIDENCIAL,SERVICIO DE TELEVISIÓN PAGADA RESIDENCIAL,Mantener
0.04685,JUEGOS DE AZAR,JUEGOS DE AZAR,Mantener
0.22115,TEXTO ESCOLAR,TEXTO ESCOLAR,Mantener
0.23462,LIBRO,LIBRO,Mantener
0.07671,DIARIO,DIARIO,Mantener
0.17421,CUADERNO,CUADERNO,Mantener
0.10495,MATERIALES PARA ARTES MANUALES,MATERIALES PARA ARTES MANUALES,Mantener
0.04327,ARTÍCULOS DE ESCRITORIO,ARTÍCULOS DE ESCRITORIO,Mantener
0.78711,PAQUETE TURÍSTICO,PAQUETE TURÍSTICO,Mantener
0.27873,SERVICIO DE EDUCACIÓN DE JARDÍN INFANTIL,SERVICIO DE EDUCACIÓN DE JARDÍN INFANTIL,Mantener
0.21168,SERVICIO DE EDUCACIÓN DE TRANSICIÓN,SERVICIO DE EDUCACIÓN DE TRANSICIÓN,Mantener
0.6516,SERVICIO DE EDUCACIÓN DE 1° CICLO DE LA ENSEÑANZA BÁSICA,SERVICIO DE EDUCACIÓN DE 1° CICLO DE LA ENSEÑANZA BÁSICA,Mantener
0.96802,SERVICIO DE EDUCACIÓN DE 2° CICLO DE LA ENSEÑANZA BÁSICA,SERVICIO DE EDUCACIÓN DE 2° CICLO DE LA ENSEÑANZA BÁSICA,Mantener
0.7535,SERVICIO DE EDUCACIÓN DE LA ENSEÑANZA MEDIA,SERVICIO DE EDUCACIÓN DE LA ENSEÑANZA MEDIA,Mantener
0.10966,SERVICIO DE PRE UNIVERSITARIO,SERVICIO DE PRE UNIVERSITARIO,Mantener
0.09196,SERVICIO DE ENSEÑANZA EN CENTROS DE FORMACIÓN TÉCNICA,SERVICIO DE ENSEÑANZA EN CENTROS DE FORMACIÓN TÉCNICA,Mantener
0.76304,SERVICIO DE ENSEÑANZA EN INSTITUTO PROFESIONAL,SERVICIO DE ENSEÑANZA EN INSTITUTO PROFESIONAL,Mantener
4.04827,SERVICIO DE ENSEÑANZA UNIVERSITARIA,SERVICIO DE ENSEÑANZA UNIVERSITARIA,Mantener
0.10781,SERVICIO DE ENSEÑANZA DE POST GRADO Y POSTÍTULO,SERVICIO DE ENSEÑANZA DE POST GRADO Y POSTÍTULO,Mantener
0.10569,CURSOS DE CAPACITACIÓN,CURSOS DE CAPACITACIÓN,Mantener
0.02877,DESAYUNO CONSUMIDO FUERA DEL HOGAR,DESAYUNO CONSUMIDO FUERA DEL HOGAR,Mantener
2.05863,ALMUERZO  Y CENAS CONSUMIDO FUERA DEL HOGAR,ALMUERZO  Y CENAS CONSUMIDO FUERA DEL HOGAR,Mantener
0.07144,ONCE CONSUMIDA FUERA DEL HOGAR,ONCE CONSUMIDA FUERA DEL HOGAR,Mantener
0.52042,SANDWICH Y COMPLETO CONSUMIDO FUERA DEL HOGAR,SANDWICH Y COMPLETO CONSUMIDO FUERA DEL HOGAR,Mantener
0.1679,BEBIDA ALCOHÓLICA CONSUMIDA FUERA DEL HOGAR,BEBIDA ALCOHÓLICA CONSUMIDA FUERA DEL HOGAR,Mantener
0.21428,BEBIDA NO ALCOHÓLICA CONSUMIDA FUERA DEL HOGAR,BEBIDA NO ALCOHÓLICA CONSUMIDA FUERA DEL HOGAR,Mantener
0.07165,HELADOS Y POSTRES CONSUMIDOS FUERA DEL HOGAR,HELADOS Y POSTRES CONSUMIDOS FUERA DEL HOGAR,Mantener
0.11422,EMPANADAS PARA LLEVAR,EMPANADAS PARA LLEVAR,Mantener
0.1139,PAPAS FRITAS PARA LLEVAR,PAPAS FRITAS PARA LLEVAR,Mantener
0.5921,PLATOS PREPARADOS PARA LLEVAR,PLATOS PREPARADOS PARA LLEVAR,Mantener
0.42123,SERVICIO DE ALOJAMIENTO TURÍSTICO,SERVICIO DE ALOJAMIENTO TURÍSTICO,Mantener
0.31079,SERVICIOS DE PELUQUERÍA,SERVICIOS DE PELUQUERÍA,Mantener
0.09569,SERVICIOS  EN CENTROS DE ESTÉTICA,SERVICIOS  EN CENTROS DE ESTÉTICA,Mantener
0.03406,AFEITADORA Y DEPILADORA ELÉCTRICA,AFEITADORA Y DEPILADORA ELÉCTRICA,Mantener
